COUNTRY_CODE,USER_ID,MATCHES_STARTED,MATCHES_COMPLETED,MATCHES_WON,AVG_WIN_RATE,RETENTION_RATE,INSTALL_DATE,PLAY_DATE
AR,73047603f21fd9bc603e5d4077b514b9750c3c5a,153,147,7,0.05340513856165152,0.017241379310344827,2021-02-26 21:07:00,2021-01-04
AR,74abcb60815fab2f0bad039aa9c23bd1c5183d94,44,44,0,0.05340513856165152,0.017241379310344827,2021-02-26 21:07:00,2021-01-04
AR,796190690192d7a317f63d6cc5172ddd25501501,86,80,2,0.05340513856165152,0.017241379310344827,2021-02-26 21:07:00,2021-01-04
AR,7a61032ef60b3801ebbb9c05981ea62b16293d6a,827,775,11,0.05340513856165152,0.017241379310344827,2021-02-26 21:07:00,2021-01-04
AR,8606e30628bbd9c6a1e89b6a9619f3bd1c6a73a0,4,4,0,0.05340513856165152,0.017241379310344827,2021-02-26 21:07:00,2021-01-04
AR,888cacca2d84a323d16680167330a527f0df4225,64,64,2,0.05340513856165152,0.017241379310344827,2021-02-26 21:07:00,2021-01-04
AR,898f6cfa3765ae517fc982b4271ed856f65f9b73,43,38,1,0.05340513856165152,0.017241379310344827,2021-02-26 21:07:00,2021-01-04
AR,8e18f4a6d22ceb3a83489bf43859b5bf7b8c632f,97,91,2,0.05340513856165152,0.017241379310344827,2021-02-26 21:07:00,2021-01-04
AR,94b732d17ff5ed63ce5e1d4ac7a10295d50e818b,160,147,18,0.05340513856165152,0.017241379310344827,2021-02-26 21:07:00,2021-01-04
AR,9c942f04fc02ca231fbe4a07af3d19f1da909315,2061,1926,121,0.05340513856165152,0.017241379310344827,2021-02-26 21:07:00,2021-01-04
AR,9d908c3e8fafe680debded5ef7c1a7f7139db9a7,168,166,0,0.05340513856165152,0.017241379310344827,2021-02-26 21:07:00,2021-01-04
AR,a322af777a0b69d326ee5903ca63f4bb8d9303a0,114,109,2,0.05340513856165152,0.017241379310344827,2021-02-26 21:07:00,2021-01-04
AR,a8bbdc4c80b3da2c395a5dcaffe768edac05f64e,9,5,2,0.05340513856165152,0.017241379310344827,2021-02-26 21:07:00,2021-01-04
AR,a9fd4b360fe387afb00d0d3ecc3e56dd1f38fe61,33,29,0,0.05340513856165152,0.017241379310344827,2021-02-26 21:07:00,2021-01-04
AR,aec1aebb8745a1d2ce036e8a9ce3ba5873e891f3,495,471,90,0.05340513856165152,0.017241379310344827,2021-02-26 21:07:00,2021-01-04
AR,b234673e551f5db8cce9b75a6edbe392ca8afba1,38,35,0,0.05340513856165152,0.017241379310344827,2021-02-26 21:07:00,2021-01-04
AR,b7ab2fb3d0939075f1186fdd46bf8e11f69e6a62,2,1,0,0.05340513856165152,0.017241379310344827,2021-02-26 21:07:00,2021-01-04
AR,bee5166ffbc0fd4e573aa9980906d442cad5b108,4,4,0,0.05340513856165152,0.017241379310344827,2021-02-26 21:07:00,2021-01-04
AR,c74e20ccf9979ec0b03330a29bf82cd6050f749b,5,5,0,0.05340513856165152,0.017241379310344827,2021-02-26 21:07:00,2021-01-04
AR,c79ac92cc1887c7f6c81c5667d9874213094eb95,625,601,30,0.05340513856165152,0.017241379310344827,2021-02-26 21:07:00,2021-01-04
AR,ca16e80d45d2e15a894a1bab0a90a972cd93e335,2,2,1,0.05340513856165152,0.017241379310344827,2021-02-26 21:07:00,2021-01-04
AR,cb3abb462219906f0af7793485a12d6528717041,9,6,0,0.05340513856165152,0.017241379310344827,2021-02-26 21:07:00,2021-01-04
AR,d0c883fa880a002b887e36a2657ed1653a508f8c,103,97,0,0.05340513856165152,0.017241379310344827,2021-02-26 21:07:00,2021-01-04
AR,d18b69d4b00f131de9587d92c2ef2a50db4bb358,1,1,0,0.05340513856165152,0.017241379310344827,2021-02-26 21:07:00,2021-01-04
AR,d6a15190e7fafcc1d6256c34df9d42b8b76ffdb2,45,44,0,0.05340513856165152,0.017241379310344827,2021-02-26 21:07:00,2021-01-04
