USER_ID,PLAY_DATE,MATCHES_STARTED,MATCHES_COMPLETED,MATCHES_WON,INSTALL_DATE,COUNTRY_CODE
950ecfee6ee85398628e33a256daccedab6c5e7e,04/12/22 00:00,6,6,0,08/02/22 02:30,MX
950ecfee6ee85398628e33a256daccedab6c5e7e,18/10/22 00:00,2,2,0,08/02/22 02:30,MX
950ecfee6ee85398628e33a256daccedab6c5e7e,19/07/22 00:00,7,7,0,08/02/22 02:30,MX
950ecfee6ee85398628e33a256daccedab6c5e7e,26/06/22 00:00,8,8,2,08/02/22 02:30,MX
950ecfee6ee85398628e33a256daccedab6c5e7e,30/06/22 00:00,8,7,0,08/02/22 02:30,MX
950ecfee6ee85398628e33a256daccedab6c5e7e,24/08/22 00:00,3,3,0,08/02/22 02:30,MX
950ecfee6ee85398628e33a256daccedab6c5e7e,14/02/22 00:00,3,3,0,08/02/22 02:30,MX
950ecfee6ee85398628e33a256daccedab6c5e7e,20/08/22 00:00,2,2,0,08/02/22 02:30,MX
950ecfee6ee85398628e33a256daccedab6c5e7e,18/12/22 00:00,2,2,0,08/02/22 02:30,MX
950ecfee6ee85398628e33a256daccedab6c5e7e,22/05/24 00:00,3,2,0,08/02/22 02:30,MX
950ecfee6ee85398628e33a256daccedab6c5e7e,23/07/22 00:00,3,3,2,08/02/22 02:30,MX
950ecfee6ee85398628e33a256daccedab6c5e7e,03/08/22 00:00,4,3,0,08/02/22 02:30,MX
950ecfee6ee85398628e33a256daccedab6c5e7e,09/12/22 00:00,4,4,0,08/02/22 02:30,MX
950ecfee6ee85398628e33a256daccedab6c5e7e,17/10/22 00:00,2,2,0,08/02/22 02:30,MX
950ecfee6ee85398628e33a256daccedab6c5e7e,04/07/22 00:00,7,7,0,08/02/22 02:30,MX
950ecfee6ee85398628e33a256daccedab6c5e7e,23/09/22 00:00,4,4,0,08/02/22 02:30,MX
950ecfee6ee85398628e33a256daccedab6c5e7e,05/03/22 00:00,2,2,0,08/02/22 02:30,MX
950ecfee6ee85398628e33a256daccedab6c5e7e,23/05/24 00:00,3,3,0,08/02/22 02:30,MX
950ecfee6ee85398628e33a256daccedab6c5e7e,28/06/22 00:00,5,5,0,08/02/22 02:30,MX
950ecfee6ee85398628e33a256daccedab6c5e7e,26/07/22 00:00,5,5,0,08/02/22 02:30,MX
950ecfee6ee85398628e33a256daccedab6c5e7e,27/09/22 00:00,3,3,0,08/02/22 02:30,MX
950ecfee6ee85398628e33a256daccedab6c5e7e,11/12/22 00:00,3,3,0,08/02/22 02:30,MX
9bccb7e16df4195aa74b25e8a7b88ca803d44e2a,12/09/22 00:00,4,3,0,04/07/22 01:23,US
9bccb7e16df4195aa74b25e8a7b88ca803d44e2a,03/09/22 00:00,2,1,0,04/07/22 01:23,US
9bccb7e16df4195aa74b25e8a7b88ca803d44e2a,04/07/22 00:00,15,15,0,04/07/22 01:23,US
9bccb7e16df4195aa74b25e8a7b88ca803d44e2a,23/09/22 00:00,1,1,0,04/07/22 01:23,US
01b9d4a84ad6297f78ad98fcfc82d245813332fa,25/09/21 00:00,5,5,0,22/09/21 11:05,KR
01b9d4a84ad6297f78ad98fcfc82d245813332fa,26/09/21 00:00,3,3,0,22/09/21 11:05,KR
01b9d4a84ad6297f78ad98fcfc82d245813332fa,23/09/21 00:00,4,4,0,22/09/21 11:05,KR
01b9d4a84ad6297f78ad98fcfc82d245813332fa,27/09/21 00:00,6,6,0,22/09/21 11:05,KR
01b9d4a84ad6297f78ad98fcfc82d245813332fa,28/09/21 00:00,3,3,0,22/09/21 11:05,KR
01b9d4a84ad6297f78ad98fcfc82d245813332fa,11/10/21 00:00,3,3,0,22/09/21 11:05,KR
01b9d4a84ad6297f78ad98fcfc82d245813332fa,03/11/21 00:00,2,2,0,22/09/21 11:05,KR
01b9d4a84ad6297f78ad98fcfc82d245813332fa,09/10/21 00:00,2,2,0,22/09/21 11:05,KR
01b9d4a84ad6297f78ad98fcfc82d245813332fa,01/10/21 00:00,2,2,0,22/09/21 11:05,KR
01b9d4a84ad6297f78ad98fcfc82d245813332fa,22/09/21 00:00,13,13,0,22/09/21 11:05,KR
01b9d4a84ad6297f78ad98fcfc82d245813332fa,24/09/21 00:00,10,10,0,22/09/21 11:05,KR
a4445bdc56e15e4c4e3f4996bd48654aa283378b,15/07/22 00:00,39,39,0,16/03/22 10:14,GB
a4445bdc56e15e4c4e3f4996bd48654aa283378b,15/06/22 00:00,12,10,0,16/03/22 10:14,GB
a4445bdc56e15e4c4e3f4996bd48654aa283378b,01/08/22 00:00,4,4,0,16/03/22 10:14,GB
a4445bdc56e15e4c4e3f4996bd48654aa283378b,12/08/22 00:00,11,11,0,16/03/22 10:14,GB
a4445bdc56e15e4c4e3f4996bd48654aa283378b,18/10/22 00:00,1,1,0,16/03/22 10:14,GB
a4445bdc56e15e4c4e3f4996bd48654aa283378b,04/10/22 00:00,2,2,0,16/03/22 10:14,GB
a4445bdc56e15e4c4e3f4996bd48654aa283378b,16/06/22 00:00,47,46,0,16/03/22 10:14,GB
a4445bdc56e15e4c4e3f4996bd48654aa283378b,15/12/22 00:00,1,1,0,16/03/22 10:14,GB
a4445bdc56e15e4c4e3f4996bd48654aa283378b,08/10/22 00:00,1,1,0,16/03/22 10:14,GB
a4445bdc56e15e4c4e3f4996bd48654aa283378b,28/07/22 00:00,10,10,0,16/03/22 10:14,GB
a4445bdc56e15e4c4e3f4996bd48654aa283378b,22/12/22 00:00,1,1,0,16/03/22 10:14,GB
a4445bdc56e15e4c4e3f4996bd48654aa283378b,17/06/22 00:00,35,34,0,16/03/22 10:14,GB
a4445bdc56e15e4c4e3f4996bd48654aa283378b,03/10/22 00:00,1,0,0,16/03/22 10:14,GB
a4445bdc56e15e4c4e3f4996bd48654aa283378b,24/06/22 00:00,3,2,0,16/03/22 10:14,GB
a4445bdc56e15e4c4e3f4996bd48654aa283378b,18/01/23 00:00,4,4,0,16/03/22 10:14,GB
a4445bdc56e15e4c4e3f4996bd48654aa283378b,22/10/22 00:00,3,2,0,16/03/22 10:14,GB
a4445bdc56e15e4c4e3f4996bd48654aa283378b,20/12/22 00:00,2,2,0,16/03/22 10:14,GB
a4445bdc56e15e4c4e3f4996bd48654aa283378b,09/10/22 00:00,1,1,0,16/03/22 10:14,GB
a4445bdc56e15e4c4e3f4996bd48654aa283378b,16/03/22 00:00,3,3,0,16/03/22 10:14,GB
a4445bdc56e15e4c4e3f4996bd48654aa283378b,18/06/22 00:00,12,12,1,16/03/22 10:14,GB
a4445bdc56e15e4c4e3f4996bd48654aa283378b,14/01/23 00:00,1,1,0,16/03/22 10:14,GB
a4445bdc56e15e4c4e3f4996bd48654aa283378b,21/12/22 00:00,2,2,0,16/03/22 10:14,GB
a4445bdc56e15e4c4e3f4996bd48654aa283378b,16/01/23 00:00,2,2,1,16/03/22 10:14,GB
a4445bdc56e15e4c4e3f4996bd48654aa283378b,03/08/22 00:00,2,1,0,16/03/22 10:14,GB
a4445bdc56e15e4c4e3f4996bd48654aa283378b,13/06/22 00:00,13,13,0,16/03/22 10:14,GB
a4445bdc56e15e4c4e3f4996bd48654aa283378b,17/01/23 00:00,1,1,0,16/03/22 10:14,GB
a4445bdc56e15e4c4e3f4996bd48654aa283378b,08/08/22 00:00,1,1,0,16/03/22 10:14,GB
a4445bdc56e15e4c4e3f4996bd48654aa283378b,30/07/22 00:00,6,5,1,16/03/22 10:14,GB
a4445bdc56e15e4c4e3f4996bd48654aa283378b,20/06/22 00:00,8,6,0,16/03/22 10:14,GB
a4445bdc56e15e4c4e3f4996bd48654aa283378b,03/11/22 00:00,2,2,0,16/03/22 10:14,GB
a4445bdc56e15e4c4e3f4996bd48654aa283378b,24/10/22 00:00,3,3,0,16/03/22 10:14,GB
a4445bdc56e15e4c4e3f4996bd48654aa283378b,25/12/22 00:00,4,3,0,16/03/22 10:14,GB
a4445bdc56e15e4c4e3f4996bd48654aa283378b,27/09/22 00:00,4,2,0,16/03/22 10:14,GB
a4445bdc56e15e4c4e3f4996bd48654aa283378b,10/09/22 00:00,7,5,0,16/03/22 10:14,GB
a4445bdc56e15e4c4e3f4996bd48654aa283378b,17/10/22 00:00,5,5,0,16/03/22 10:14,GB
a4445bdc56e15e4c4e3f4996bd48654aa283378b,06/07/22 00:00,16,15,0,16/03/22 10:14,GB
a4445bdc56e15e4c4e3f4996bd48654aa283378b,08/07/22 00:00,21,21,0,16/03/22 10:14,GB
a4445bdc56e15e4c4e3f4996bd48654aa283378b,02/11/22 00:00,4,4,0,16/03/22 10:14,GB
a4445bdc56e15e4c4e3f4996bd48654aa283378b,21/06/22 00:00,2,2,0,16/03/22 10:14,GB
a4445bdc56e15e4c4e3f4996bd48654aa283378b,12/06/22 00:00,6,6,0,16/03/22 10:14,GB
a4445bdc56e15e4c4e3f4996bd48654aa283378b,19/06/22 00:00,5,5,0,16/03/22 10:14,GB
a4445bdc56e15e4c4e3f4996bd48654aa283378b,29/07/22 00:00,25,25,0,16/03/22 10:14,GB
a4445bdc56e15e4c4e3f4996bd48654aa283378b,16/07/22 00:00,20,20,0,16/03/22 10:14,GB
f863516432f44e16b90f66d4f34585c7183934a6,22/02/21 00:00,29,11,0,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,15/03/21 00:00,1,1,0,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,06/03/21 00:00,2,2,0,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,09/04/21 00:00,17,15,3,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,14/08/21 00:00,3,3,0,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,18/02/21 00:00,4,4,0,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,05/04/21 00:00,20,13,0,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,02/04/21 00:00,13,12,1,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,10/04/21 00:00,0,0,0,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,07/03/21 00:00,8,8,0,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,09/03/21 00:00,3,2,0,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,13/03/21 00:00,11,11,3,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,04/04/21 00:00,4,4,1,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,03/03/21 00:00,0,0,0,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,30/03/21 00:00,6,6,1,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,07/04/21 00:00,1,0,0,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,03/04/21 00:00,4,4,0,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,19/04/21 00:00,0,0,0,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,29/06/22 00:00,10,8,2,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,14/04/21 00:00,0,0,0,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,05/03/21 00:00,1,1,0,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,29/03/21 00:00,7,6,0,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,15/04/21 00:00,0,0,0,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,08/03/21 00:00,7,7,0,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,24/03/21 00:00,3,3,0,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,24/07/21 00:00,2,2,0,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,19/03/21 00:00,1,1,0,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,22/06/22 00:00,0,0,0,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,12/03/21 00:00,7,7,0,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,11/04/21 00:00,6,6,2,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,05/06/21 00:00,1,1,0,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,27/03/21 00:00,10,10,0,14/02/21 16:51,HK
